2008069,Business Studies,b10BST
2008069,English,b10ENG-XB
2008069,English Literature,b10ENG-XB
2008069,Information Communication Technology,b10ICT-4
2008069,Maths,b10MA-XGAU
2008069,Religious Studies,b10RS-XB
2008069,Sports Studies,b10SPO-3
2008070,Core Science,b10CSC-I
2008070,English,b10ENG-XD
2008070,English Literature,b10ENG-XD
2008070,Information Communication Technology,b10ICT-5
2008070,Maths,b10MA-XFIB
2008070,Religious Studies,b10RS-XD
2008070,Sports Studies,b10SPO-1
2008070,Vehicle Maintenance and Repair,b10VMR
2008072,Biology,b10TSC-G
2008072,Chemistry,b10TSC-G
2008072,English,b10ENG-XD
2008072,English Literature,b10ENG-XD
2008072,Geography,b10GEOG-3
2008072,History,b10HIST-1b
2008072,Information Communication Technology,b10ICT-5
2008072,Maths,b10MA-XGAU
2008072,Physics,b10TSC-G
2008072,Religious Studies,b10RS-XD
2008072,Sports Studies,b10SPO-2
2008074,Biology,b10TSC-F
2008074,Business Studies,b10BST
2008074,Chemistry,b10TSC-F
2008074,English,b10ENG-XC
2008074,English Literature,b10ENG-XC
2008074,French,b10FRE-1
2008074,Information Communication Technology,b10ICT-5
2008074,Maths,b10MA-XEUL
2008074,Media Studies,b10MS-3
2008074,Physics,b10TSC-F
2008074,Religious Studies,b10RS-XC
2008076,Biology,b10TSC-F
2008076,Business Studies,b10BST
2008076,Chemistry,b10TSC-F
2008076,English,b10ENG-XA
2008076,English Literature,b10ENG-XA
2008076,Geography,b10GEOG-1
2008076,Information Communication Technology,b10ICT-3
2008076,Maths,b10MA-XEUL
2008076,Physics,b10TSC-F
2008076,Religious Studies,b10RS-XA
2008076,Technology Product Design,b10PD-Y1
2008077,Basic Construction Skills,b10CONS
2008077,BTEC Science,b10BSC-D
2008077,English,b10ENG-XA
2008077,English Literature,b10ENG-XA
2008077,Information Communication Technology,b10ICT-2
2008077,Maths,b10MA-XPYT
2008077,Media Studies,b10MS-3
2008077,Religious Studies,b10RS-XA
2008077,Technology Product Design,b10PD-X1
2008078,Biology,b10TSC-F
2008078,Business Studies,b10BST
2008078,Chemistry,b10TSC-F
2008078,English,b10ENG-YH
2008078,English Literature,b10ENG-YH
2008078,Information Communication Technology,b10ICT-3
2008078,Maths,b10MA-YEUL
2008078,Media Studies,b10MS-1
2008078,Physics,b10TSC-F
2008078,Religious Studies,b10RS-YH
2008078,Technology Product Design,b10PD-Y2
2008079,Biology,b10TSC-G
2008079,Business Studies,b10BST
2008079,Chemistry,b10TSC-G
2008079,English,b10ENG-YF
2008079,English Literature,b10ENG-YF
2008079,FMA Performing Engineering Operations,b10FMA
2008079,Geography,b10GEOG-1
2008079,Maths,b10MA-YMAN
2008079,Physics,b10TSC-G
2008079,Religious Studies,b10RS-YF
2008080,Art,b10ART-2
2008080,Core Science,b10CSC-H
2008080,English,b10ENG-YF
2008080,English Literature,b10ENG-YF
2008080,Health and Social Care,b10HSC-1
2008080,History,b10HIST-3
2008080,Information Communication Technology,b10ICT-5
2008080,Maths,b10MA-YMAN
2008080,Religious Studies,b10RS-YF
2008081,Art,b10ART-3
2008081,Core Science,b10CSC-I
2008081,Drama,b10DRA-2
2008081,English,b10ENG-XB
2008081,English Literature,b10ENG-XB
2008081,Health and Social Care,b10HSC-1
2008081,Maths,b10MA-XFIB
2008081,Religious Studies,b10RS-XB
2008081,Technology Textiles,b10TEXT-Y1
2008082,Art,b10ART-1
2008082,Child Care,b10CC
2008082,Core Science,b10CSC-H
2008082,English,b10ENG-XA
2008082,English Literature,b10ENG-XA
2008082,Information Communication Technology,b10ICT-3
2008082,Maths,b10MA-XFIB
2008082,Religious Studies,b10RS-XA
2008082,Technology Textiles,b10TEXT-Y1
2008083,Biology,b10TSC-A
2008083,Chemistry,b10TSC-A
2008083,English,b10ENG-YF
2008083,English Literature,b10ENG-YF
2008083,Geography,b10GEOG-1
2008083,History,b10HIST-2
2008083,Maths,b10MA-YGAU
2008083,Physics,b10TSC-A
2008083,Religious Studies,b10RS-YF
2008083,Sports Studies,b10SPO-3
2008083,Technology Food,b10FOOD-X1
2008084,Core Science,b10CSC-H
2008084,English,b10ENG-YJ
2008084,English Literature,b10ENG-YJ
2008084,Maths,b10MA-YMAN
2008084,Religious Studies,b10RS-YJ
2008084,Sports Studies,b10SPO-1
2008084,Technology Product Design,b10PD-Y1
2008084,Vehicle Maintenance and Repair,b10VMR
2008086,Business Studies,b10BST
2008086,Core Science,b10CSC-I
2008086,English,b10ENG-YG
2008086,English Literature,b10ENG-YG
